"property","status","value","expected","restored","hiddenExpected","hiddenRestored","captureMs","detail"
"-webkit-box-pack","preserved","center","center","center","center","center","8",""
"-webkit-box-reflect","preserved","above","above 0px none","above 0px none","above 0px none","above 0px none","9",""
"-webkit-column-axis","untested","","","","","","",""
"-webkit-column-progression","preserved","reverse","reverse","reverse","reverse","reverse","12",""
"-webkit-cursor-visibility","untested","","","","","","",""
"-webkit-font-smoothing","preserved","none","none","none","none","none","9",""
"-webkit-hyphenate-limit-after","preserved","2","2","2","2","2","7",""
"-webkit-hyphenate-limit-before","preserved","2","2","2","2","2","16",""
"-webkit-hyphenate-limit-lines","preserved","2","2","2","2","2","12",""
"-webkit-initial-letter","preserved","2","2","2","2","2","12",""
"-webkit-line-align","untested","","","","","","",""
"-webkit-line-box-contain","preserved","none","none","none","none","none","16",""
"-webkit-line-clamp","preserved","25%","25%","25%","25%","25%","12",""
"-webkit-line-grid","preserved","red","red","red","red","red","10",""
"-webkit-line-snap","untested","","","","","","",""
"-webkit-locale","preserved","auto","auto","auto","auto","auto","8",""
"-webkit-mask","untested","","","","","","",""
"-webkit-mask-attachment","unsupported","","","","","","",""
"-webkit-mask-clip","preserved","padding","padding-box","padding-box","padding-box","padding-box","10",""
"-webkit-mask-composite","preserved","xor","xor","xor","xor","xor","11",""
"-webkit-mask-image","preserved","linear-gradient(red, blue)","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255))","17",""
"-webkit-mask-origin","preserved","padding","padding-box","padding-box","padding-box","padding-box","9",""
"-webkit-mask-position","preserved","24px","24px 50%","24px 50%","24px 50%","24px 50%","12",""
"-webkit-mask-position-x","preserved","center","50%","50%","50%","50%","6",""
"-webkit-mask-position-y","preserved","center","50%","50%","50%","50%","11",""
"-webkit-mask-repeat","preserved","repeat-x","repeat-x","repeat-x","repeat-x","repeat-x","11",""
"-webkit-mask-repeat-x","unsupported","","","","","","",""
"-webkit-mask-repeat-y","unsupported","","","","","","",""
"-webkit-mask-size","preserved","24px","24px auto","24px auto","24px auto","24px auto","9",""
"-webkit-nbsp-mode","preserved","space","space","space","space","space","8",""
"-webkit-overflow-scrolling","unsupported","","","","","","",""
"-webkit-rtl-ordering","untested","","","","","","",""
"-webkit-tap-highlight-color","unsupported","","","","","","",""
"-webkit-text-fill-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","11",""
"-webkit-text-security","preserved","disc","disc","disc","disc","disc","12",""
"-webkit-text-stroke","untested","","","","","","",""
"-webkit-text-stroke-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","12",""
