"property","status","value","expected","restored","hiddenExpected","hiddenRestored","captureMs","detail"
"-ms-wrap-through","unsupported","","","","","","",""
"-webkit-appearance","preserved","button","button","button","button","button","2895",""
"-webkit-border-after","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","606",""
"-webkit-border-after-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","1154.6",""
"-webkit-border-after-style","preserved","none","none","none","none","none","94.2",""
"-webkit-border-after-width","preserved","24px","24px","24px","24px","24px","1853",""
"-webkit-border-before","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","178.3",""
"-webkit-border-before-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","42.5",""
"-webkit-border-before-style","preserved","none","none","none","none","none","106.2",""
"-webkit-border-before-width","preserved","24px","24px","24px","24px","24px","54.9",""
"-webkit-border-end","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","147.9",""
"-webkit-border-end-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","78.5",""
"-webkit-border-end-style","preserved","none","none","none","none","none","99.3",""
"-webkit-border-end-width","preserved","24px","24px","24px","24px","24px","126.1",""
"-webkit-border-horizontal-spacing","preserved","24px","24px","24px","24px","24px","77",""
"-webkit-border-image","preserved","linear-gradient(red, blue)","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 100% / 1 / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 100% / 1 / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 100% / 1 / 0 stretch","linear-gradient(rgb(255, 0, 0), rgb(0, 0, 255)) 100% / 1 / 0 stretch","82.5",""
"-webkit-border-start","preserved","24px","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","0px none rgb(23, 37, 30)","38.9",""
"-webkit-border-start-color","preserved","red","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","rgb(255, 0, 0)","157.7",""
"-webkit-border-start-style","preserved","none","none","none","none","none","43.5",""
"-webkit-border-start-width","preserved","24px","24px","24px","24px","24px","65.5",""
"-webkit-border-vertical-spacing","preserved","24px","24px","24px","24px","24px","46.1",""
"-webkit-box-align","preserved","center","center","center","center","center","40.3",""
"-webkit-box-decoration-break","preserved","clone","clone","clone","clone","clone","48.6",""
"-webkit-box-direction","preserved","reverse","reverse","reverse","reverse","reverse","47.5",""
"-webkit-box-flex","preserved","2","2","2","2","2","43.9",""
